OBJECTID,FID_,Country,ISO,COUNTRYAFF,AFF_ISO,Country_1,ISO_2,ISO_3,SPI,BNeeds,FWellB,Opport,Nut_BMC,H2O_Sani,Shelter,Per_Safe,Know_Acc,Info_Acc,Health,Enviro_Q,Rght_Per,Free_Cho,Tol_Incl,Ed_Acc,Under_N,Food_Def,Mortal_M,Mortal_C,D_Infect,H2O_pipe,H2O_Rur,Sani_Acc,Hous_Aff,Elec_Acc,Elec_Qal,HH_Air_D,Homicide,Crim_Vio,Crim_Per,Pol_Terr,Traff_D,Literacy,Enroll_P,Enroll_S,Enroll_G,Phone,Inet,Free_Prs,Li_Ex_60,D_Non_C,Suicide,D_O_Air,H2O_Trt,Biodev,Gr_Gas,Rght_Pol,Free_Exp,Free_Asb,Pri_Prop,Free_Cho1,Free_Rel,Marr_E,Contrac,Corrupt,Tol_Imm,Tol_Gay,Disc_Min,Tol_Rel,Safe_Net,SchYrsT,SchYrsW,Ed_Ineq,Uni_Rank,Uni_RPct,FoodDefC,AdLitC,Ed_Sec_C,Ed_Sec_G,PhoneC,GGasC,UniRankB,UniRPctB,Shape__Area,Shape__Length
189,0,Ghana,GH,Ghana,GH,Ghana,GH,GHA,61.44,60.46,69.92,53.95,86.15,43.02,43.12,69.54,86.71,72.76,57.55,62.66,80.1,60.17,52.02,23.51,5.0,19.0,319.476073113,61.6,326.196523384,18.88,84.0458594,14.8710577,0.409476912263,64.06256,2.21,155.14009865,1.7,3.0,3.0,2.0,26.2,76.58,99.69,71.03628,0.94869,129.7359971,23.47812844,17.95,15.90029,501.8,9.68090244,74.833608232,1.1854838709,80.79,293.80,37.0,14,0.87,50.00,0.744763466172,4.0,0.09,44.0,43.0,0.651971862096,0.0744427054072,4.6,4.0,0.643763728088,0.12,7.12,0.37,1,0.0905411295847,19.0,76.58,71.03628,0.05131,100.0,293.80,1,2,197099965121.475,2318824.99577003
203,0,Guinea,GN,Guinea,GN,Guinea,GN,GIN,43.4,44.99,53.22,31.98,69.61,35.61,23.53,51.23,48.28,57.47,56.68,50.45,46.09,37.31,41.07,3.45,16.4,115.0,678.98887188,93.7,545.463024173,14.05,67.4014594,20.0991418,0.35725992187,26.2,1.29,210.631685331,8.7,5.0,4.0,3.0,27.3,30.47,78.02,38.82327,0.65594,87.17366364,4.7,33.08,16.74662,564.9,10.599174129,81.549782772,0.605,86.95,1090.57,17.0,10, ,20.00,0.716955653617,3.0,0.38,20.4,27.0,0.758293684266,0.0350621733992,8.8,3.0,0.674593117364, ,2.07,0.48,0,0.0,115.0,30.47,38.82327,0.34406,87.17366364,1090.57,0,0,203017036299.783,3177546.79138325
119,0,Kenya,KE,Kenya,KE,Kenya,KE,KEN,56.17,52.65,68.78,47.08,74.35,35.97,48.83,51.43,79.49,66.82,62.67,66.13,52.59,60.82,37.2,37.7,21.2,135.0,509.517844163,49.4,488.741026493,21.69,56.839584,30.1098533,0.560671569348,23.0,3.90,106.206128839,5.9,4.0,4.0,4.0,29.1,78.02,86.21,67.64039,0.92981,80.67820274,45.62280061,31.16,16.91434,359.3,11.368823471,36.951570655,3.2,84.09,524.20,22.0,10,0.59,30.00,0.745969683984,3.0,0.13,76.8,26.0,0.648569796397,0.140963111254,9.1,2.0,0.705921568925,0.28,9.14,0.26,1,0.444414018085,135.0,78.02,67.64039,0.07019,80.67820274,524.20,1,4,476802631845.064,3385129.8740814
135,0,Lesotho,LS,Lesotho,LS,Lesotho,LS,LSO,51.74,51.63,51.21,52.38,67.66,45.6,34.22,59.02,65.33,66.66,29.03,43.83,60.18,63.8,60.98,24.54,11.2,76.0,487.171775024,90.2,1170.23026742,22.27,76.9647362,30.2696173,0.431895351352,20.56256,3.35,195.533107035,38.0,3.0,3.0,2.0,28.2,79.36,83.58,53.77216,1.35846,100.9445238,16.0717077,28.78,15.77154,1037.7,31.86367976,110.979168676,0.3,26.17,423.07,27.0,12, ,30.00,0.716732728343,4.0,0.15,76.1,39.0,0.655400236803,0.199567736599,4.1,4.0,0.79449368374,0.06,10.24,0.24,0,0.0,76.0,79.36,53.77216,0.35846,100.0,423.07,0,0,27537378987.0547,698416.211847408
194,0,Liberia,LR,Liberia,LR,Liberia,LR,LBR,49.34,46.11,59.48,42.44,62.53,29.17,30.97,61.75,62.06,56.55,59.29,60.01,61.87,53.1,45.37,9.42,31.9,256.0,724.506181294,69.9,500.319717685,2.42,62.6101175,16.8894483,0.324969966085,9.8,2.82,159.057462588,3.2,3.0,4.0,2.0,33.7,47.60,89.89,37.2998,0.77618,81.09358204,5.903867603,30.71,15.64527,430.7,9.541585314,28.612223105,0.0,49.67,523.13,28.0,11,0.76,25.00,0.74252122358,4.0,0.2,38.7,37.0,0.56287825129,0.0347065535245,6.0,4.0,0.637789171068,0.16,4.37,0.46,0,0.0,256.0,47.60,37.2998,0.22382,81.09358204,523.13,0,0,78961216977.2082,1524943.31306521
163,0,Madagascar,MG,Madagascar,MG,Madagascar,MG,MDG,47.4,45.52,54.75,41.95,71.78,16.03,28.89,65.36,71.41,44.44,53.12,50.0,57.64,40.95,53.08,16.12,33.0,229.0,352.861513487,49.6,316.352635855,7.03,35.2523217,11.9951814,0.569510396757,15.4,1.94,201.623165049,0.6,3.0,3.0,3.0,28.4,64.66, ,38.43493,0.98072,44.12458392,4.17397219,27.04,17.00166,674.6,11.932257621,75.631629443,0.0,64.68,884.35,24.0,10,0.61,45.00,0.561897705707,3.0,0.4,58.2,26.0,0.555022631677,0.0362115911061,4.3,4.0,0.745163455945, ,6.46,0.35,0,0.0,229.0,64.66,38.43493,0.01928,44.12458392,884.35,0,0,506147401599.826,4678360.5271663
137,0,Malawi,MW,Malawi,MW,Malawi,MW,MWI,53.09,54.88,58.8,45.59,70.37,50.87,33.69,64.57,75.96,43.22,57.09,58.92,67.99,58.96,41.1,14.31,20.7,139.0,634.122448232,64.0,581.624550978,7.93,89.1141802,41.0033749,0.462384847924,9.8,2.27,135.542254429,1.8,3.0,3.0,2.5,35.0,65.96,98.10,43.39519,0.89625,37.93879778,9.298148347,28.12,15.40001,446.7,11.851029558,56.016363669,0.0,93.35,880.18,26.0,13,0.79,40.00,0.809177584562,4.0,0.26,70.9,31.0,0.467468892389,0.0246892837122,5.1,4.0,0.524299635713,0.01,4.98,0.30,0,0.0,139.0,65.96,43.39519,0.10375,37.93879778,880.18,0,0,98878264513.5308,2352484.63010814
208,0,Mali,ML,Mali,ML,Mali,ML,MLI,47.75,54.02,53.75,35.49,76.4,36.02,41.76,61.89,47.05,60.93,59.35,47.68,52.08,35.51,48.43,5.94,5.0,23.0,587.076476542,114.7,448.498839978,15.88,64.0584283,24.6707478,0.537890283651,25.6,2.83,131.538324058,10.2,3.0,3.0,3.5,25.6,33.07,60.80,41.30748,0.80848,139.6118556,10.33692498,39.83,15.9355,484.5,7.48238599,72.11600896,0.0,73.03,1179.84,17.0,12, ,25.00,0.679459428726,4.0,0.53,29.9,32.0,0.864219384353,0.0645211216394,7.9,2.0,0.833314853894,0.06,1.56,0.42,0,0.0,23.0,33.07,41.30748,0.19152,100.0,1179.84,0,0,1060346922802.63,6415340.83350948
165,0,Mauritius,MU,Mauritius,MU,Mauritius,MU,MUS,75.18,88.97,75.91,60.65,96.72,97.66,78.76,82.73,94.89,76.16,67.95,64.66,81.72,64.8,65.81,30.25,5.0,35.0,53.3580178307,13.5,41.7805613787,99.85,99.8180558,93.1491463,0.289254650173,100.0,5.41,3.177534018,2.7,2.0,2.0,2.0,12.2,90.62,98.93,95.69616,1.04655,140.5812628,50.13931848,27.69,20.55241,446.8,8.919498941,36.344863474,4.2,55.45,264.02,37.0,15, ,60.00,0.807141305874,4.0,0.1,44.8,54.0,0.725864698461,0.264877578222,3.8,4.0,0.824958779441,0.17,10.36,0.13,0,0.0,35.0,90.62,95.69616,0.04655,100.0,264.02,0,0,1835592135.87109,201521.993296215
139,0,Mozambique,MZ,Mozambique,MZ,Mozambique,MZ,MOZ,47.9,45.53,58.2,39.96,66.89,20.06,36.49,58.67,68.76,55.13,52.41,56.49,53.05,42.08,54.47,10.27,25.3,181.0,489.105807629,78.5,685.01730566,8.65,37.0392216,20.5046142,0.441073698968,20.2,2.81,150.771043263,3.6,3.0,4.0,3.0,31.6,58.84,89.13,32.43181,0.91981,74.23884829,9.0,30.25,16.63228,595.9,16.245726147,56.620372925,0.0,88.43,967.73,20.0,11, ,30.00,0.784500163096,4.0,0.45,37.8,27.0,0.669467331491,0.269528750485,5.6,4.0,0.662420433203,0.02,2.99,0.34,0,0.0,181.0,58.84,32.43181,0.08019,74.23884829,967.73,0,0,665901793052.438,6777773.63332553
155,0,Namibia,NA,Namibia,NA,Namibia,NA,NAM,61.98,61.88,69.37,54.68,65.3,58.23,57.75,66.24,81.22,73.51,60.38,62.36,66.93,74.96,54.16,22.67,42.3,325.0,264.737645844,45.4,489.153141097,50.67,84.6499855,34.3905834,0.376990738925,47.26256,5.54,109.610543586,16.9,3.0,3.0,2.0,23.9,90.82,91.23,64.84255,1.15734,106.5812144,22.30701479,15.15,17.37891,395.9,15.030748909,60.832814779,6.25,95.74,708.78,30.0,14, ,30.00,0.846826531671,4.0,0.05,76.6,52.0,0.593531500955,0.231711216098,6.0,4.0,0.758846458874,0.06,9.79,0.28,0,0.0,325.0,90.82,64.84255,0.15734,100.0,708.78,0,0,713026939254.109,4879210.11355749
242,0,Niger,NE,Niger,NE,Niger,NE,NER,42.97,47.92,45.92,35.08,74.98,22.39,31.24,63.07,37.12,45.68,61.29,39.6,53.73,36.77,41.98,7.85,9.5,56.0,553.496951402,95.5,545.935262926,8.72,48.6223276,10.8836394,0.47706733098,14.4, ,174.497650005,4.5,4.0,3.0,2.5,26.4,19.10,63.28,20.74982,0.71129,46.49586525,2.22016535,24.62,16.15692,414.6,8.462875121,111.310568172,0.0,88.33,1660.52,21.0,11, ,30.00,0.688774802471,4.0,0.61,42.9,35.0,0.669533303914,0.0434822317852,7.7,3.0,0.68167446417,0.04,1.41,0.35,0,0.0,56.0,19.10,20.74982,0.28871,46.49586525,1500.00,0,0,1000635640849.06,5044580.67389906
243,0,Nigeria,NG,Nigeria,NG,Nigeria,NG,NGA,50.01,47.9,63.31,38.81,72.88,30.54,45.25,42.93,62.94,66.04,62.53,61.75,53.13,45.72,36.39,20.01,7.0,42.0,813.977448356,108.8,449.24566173,2.27,57.2927089,28.9532135,0.551694269688,55.6,1.44,109.171285294,10.1,5.0,5.0,4.5,20.5,59.57,65.67,55.70422,0.92501,82.18573909,47.44255029,35.9,14.21579,284.9,6.916457642,68.921747152,0.154,75.43,332.12,25.0,9,0.60,30.00,0.789560839288,3.0,0.29,31.5,28.0,0.708437396703,0.0710801007682,9.4,1.0,0.803088144297, ,6.77,0.43,1,0.0176777538356,42.0,59.57,55.70422,0.07499,82.18573909,332.12,1,1,751623552247.997,4827281.55037034
121,0,Rwanda,RW,Rwanda,RW,Rwanda,RW,RWA,52.78,57.38,60.83,40.13,73.81,49.82,44.85,61.04,76.07,46.94,62.73,57.59,28.38,73.85,42.36,15.93,31.6,232.0,290.200606404,41.7,298.526221014,9.20,71.8957441,61.6448175,0.560131091234,18.0,4.16,144.97328084,4.9,3.0,3.0,3.5,32.1,71.24,96.67,39.11577,1.09523,70.48290534,18.0,54.61,18.03824,435.5,10.804300837,82.718260819,0.0,71.26,404.49,8.0,4, ,30.00,0.909461475456,3.0,0.04,65.7,54.0,0.685893422395,0.0676188557676,9.1,4.0,0.664255619432,0.06,5.48,0.29,0,0.0,232.0,71.24,39.11577,0.09523,70.48290534,404.49,0,0,20596869261.9209,723912.585404388
211,0,Senegal,SN,Senegal,SN,Senegal,SN,SEN,58.31,64.64,61.9,48.38,84.27,55.06,48.84,70.41,66.24,68.44,56.27,56.65,74.75,54.64,56.68,7.46,10.0,63.0,315.110328931,47.2,353.343976894,53.14,67.3301999,47.5924349,0.5022868605,56.5,3.17,140.865240246,7.9,3.0,2.0,2.5,27.2,55.62,73.31,49.64676,0.97841,99.94675778,21.69026413,27.99,16.79093,515.0,14.156551333,85.852306802,0.5,93.36,726.07,32.0,15,0.80,40.00,0.740949732103,4.0,0.25,43.9,45.0,0.815588644557,0.0147434927745,6.6,4.0,0.837626955111,0.10,3.11,0.45,0,0.0,63.0,55.62,49.64676,0.02159,99.94675778,726.07,0,0,164096688597.853,3053448.77645059
214,0,Sierra Leone,SL,Sierra Leone,SL,Sierra Leone,SL,SLE,47.1,43.49,58.63,39.19,54.89,21.87,23.34,73.85,71.16,58.91,49.64,54.8,56.83,44.67,50.43,4.82,22.3,160.0,1359.67420913,120.4,593.286985532,5.36,47.8186282,13.262579,0.291187402802,14.2,2.20,210.759299807,1.9,3.0,2.0,2.0,27.3,48.43,99.80,43.25026,0.86252,89.52968035,2.5,29.94,12.98834,569.7,10.891643615,71.762007428,0.0,75.46,753.01,28.0,12,0.66,10.00,0.666050911021,4.0,0.31,37.8,30.0,0.713866849051,0.0568712494158,5.9,4.0,0.655695251969,0.09,2.58,0.50,0,0.0,160.0,48.43,43.25026,0.13748,89.52968035,753.01,0,0,59816538357.3239,1376385.98878781
141,0,South Africa,ZA,South Africa,ZA,South Africa,ZA,ZAF,67.25,67.48,69.79,64.5,88.64,73.02,62.82,45.43,86.32,78.83,53.39,60.6,74.71,72.94,60.7,49.65,5.0,13.0,138.046154104,40.5,484.349508225,72.70,81.3951663,66.3871416,0.372732085123,85.4,3.01,38.568855962,33.0,5.0,4.0,3.0,25.1,94.60, ,91.95773,1.20067,164.5116827,51.91911572,21.92,16.55352,574.3,15.382650599,73.875457747,32.49,75.06,714.22,33.0,15,0.72,50.00,0.7647023115230001,4.0,0.03,82.9,45.0,0.639641902769,0.525674201774,6.3,3.0,0.872273438698,0.11,11.48,0.16,13,0.421656228554,13.0,94.60,91.95773,0.20067,100.0,714.22,5,4,1097488807189.25,6788301.98543982
201,0,South Sudan,SS,South Sudan,SS,South Sudan,SS,SSD,,,,,,23.0240058899,,,16.4775981903,,54.7302055359,,,,29.328578949,,,,789.2084182,92.6,698.957045097,1.80,56.8684676,6.7218929,0.186331712075,5.062558, ,183.17050999,13.9,5.0,5.0,5.0,,31.98,30.26,9.51756,0.53695,,,44.87,16.52605,596.4,11.70254327,86.199550424,,, ,-2.0,4, , ,0.424488333187,3.0,,14.0,11.0,0.587366826537,0.0503353403016,9.9,3.0,0.530572368694, ,1.19,0.40,0,0.0,,31.98,9.51756,0.46305,, ,0,0,521555640601.445,4187131.66714116
144,0,Swaziland,SZ,Swaziland,SZ,Swaziland,SZ,SWZ,52.64,58.2,54.78,44.93,66.53,54.67,45.58,66.04,80.84,52.05,32.74,53.48,33.21,65.38,57.56,23.56,26.8,192.0,389.054962307,60.7,887.479436733,37.28,68.8599119,57.4674509,,42.0,3.97,183.775287587,17.4,2.5,3.0,2.5,24.2,87.47,79.74,66.02809,0.99327,73.20000716,30.38270066,52.37,15.97015,939.5,31.0962816,95.624325331,3.7,52.93,340.98,1.0,7, ,40.00,0.606764716964,4.0,0.07,79.0,43.0,0.547975675946,0.179796576003,3.4,3.0,0.83714974636,0.08,10.0,0.27,0,0.0,192.0,87.47,66.02809,0.00673,73.20000716,340.98,0,0,15147818307.8306,502904.443411392
122,0,Tanzania,TZ,Tanzania,TZ,Tanzania,TZ,TZA,50.21,47.45,61.35,41.84,69.96,23.51,34.52,61.8,68.75,55.34,59.09,62.21,50.86,55.35,43.03,18.13,32.1,238.0,398.132838901,48.7,425.588173675,12.59,45.549329,15.5503829,0.32018946141,15.3,2.94,141.077779699,7.9,3.0,3.0,3.0,32.9,80.36,78.05,32.25608,0.91493,75.85579688,5.355144064,28.65,16.37101,451.2,11.141164578,58.970943792,1.44,94.34,665.78,25.0,9,0.56,25.00,0.77346190651,3.0,0.2,54.9,32.0,0.509028375021,0.089940269545,5.4,3.0,0.63775591198,0.03,7.06,0.28,0,0.0,238.0,80.36,32.25608,0.08507,75.85579688,665.78,0,0,774648545644.402,4553095.6140701
245,0,Togo,TG,Togo,TG,Togo,TG,TGO,48.21,49.4,55.86,39.37,78.44,19.68,31.84,67.65,64.63,52.3,53.77,52.73,46.98,51.37,47.65,11.49,11.4,75.0,368.243687877,78.4,480.922602583,5.47,44.2149449,11.6186388,0.406740301272,31.46256, ,181.331683416,9.2,3.0,3.0,1.5,31.1,66.54,97.46,54.70859,0.52893,67.70803859,7.12,30.31,15.54873,524.2,14.156305406,87.730609812,0.0,71.34,668.99,18.0,9, ,30.00,0.715364537428,4.0,0.16,34.3,32.0,0.691460372338,0.0705122486125,4.8,4.0,0.504565853819,0.13,4.19,0.39,0,0.0,75.0,66.54,54.70859,0.47107,67.70803859,668.99,0,0,47139124547.9522,1436932.57782736
222,0,Uganda,UG,Uganda,UG,Uganda,UG,UGA,49.59,52.5,57.17,39.11,73.94,36.78,36.58,62.68,68.0,48.55,54.92,57.21,41.77,47.99,36.93,29.77,25.5,172.0,343.133206749,54.6,449.792545987,5.02,75.8429033,19.0777634,0.385555875543,18.16256,3.37,158.840918448,11.8,3.0,3.0,3.0,27.4,73.81,84.49,26.09937,0.89103,50.37278848,19.22109963,32.58,17.32204,560.1,15.87466395,102.246750612,0.42,93.61,523.17,11.0,9,0.51,25.00,0.731907843761,2.0,0.23,46.9,25.0,0.410052121954,0.33415749999,9.0,2.0,0.753540213744,0.08,6.16,0.29,1,0.267141133724,172.0,73.81,26.09937,0.10897,50.37278848,523.17,1,4,198344632394.483,2141826.07999035
123,0,Zambia,ZM,Zambia,ZM,Zambia,ZM,ZMB,,48.01,,45.05,57.74,36.23,32.8,65.25,,56.58,47.08,54.89,49.63,60.36,48.54,21.69,47.8,405.0,224.236443014,64.0,666.306412314,15.75,51.3353673,43.8709003,0.486836118192,22.06256,2.51,187.194708269,5.8,3.0,3.0,3.0,24.7,85.12,89.04,,,74.47177776,21.0,35.08,17.69023,725.1,22.316614923,89.234323241,4.2,97.06,895.08,23.0,10,0.48,30.00,0.785137744368,3.0,0.19,65.9,38.0,0.557340115562,0.093363689037,5.4,3.0,0.760661097894,0.04,7.75,0.22,0,0.0,405.0,85.12,,,74.47177776,895.08,0,0,628020526078.462,4906749.10361489
124,0,Zimbabwe,ZW,Zimbabwe,ZW,Zimbabwe,ZW,ZWE,50.1,51.31,60.78,38.21,63.66,44.62,42.66,54.28,81.6,56.95,49.44,55.15,26.09,56.31,43.77,26.66,33.4,259.0,443.31382427,70.7,648.149324115,27.51,67.3031511,36.8312138,0.560794598295,40.46256,2.31,138.87634268,6.7,3.0,5.0,3.0,28.2,86.87,90.75,47.57019,0.97947,84.78880444,16.36,40.41,17.77401,493.0,30.793491169,64.519647276,0.0,94.31,1050.12,12.0,8,0.17,10.00,0.72561944064,3.0,0.26,85.1,22.0,0.573940262922,0.0814490454989,7.5,3.0,0.767200318443,0.03,10.2,0.17,0,0.0,259.0,86.87,47.57019,0.02053,84.78880444,1050.12,0,0,331936456307.795,2606683.15306759
